FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,NODEID,nodeX,nodeY,STREET1,STREET2
87,1,87,1,1,0,0,2016,13404,984016.2242,162469.0235,79 STREET,NEW UTRECHT AVENUE
88,1,88,1,1,0,0,2016,49877,1021810.447,206724.2848,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD
89,1,89,1,0,1,0,2016,16715,994774.247,157221.2981,EAST 9 STREET,AVENUE U
90,1,90,1,0,0,1,2016,16607,993930.7283,154632.7075,OCEAN PARKWAY,AVENUE X
91,1,91,1,1,0,0,2016,24259,999378.3191,230483.4623,EAST 115 STREET,MADISON AVENUE
92,1,92,1,0,0,1,2016,34105,1036739.04,186902.4517,130 STREET,115 AVENUE
93,1,93,1,1,0,0,2016,38031,1052204.137,159910.9775,BEACH CHANNEL DRIVE,MOTT AVENUE
94,1,94,1,0,1,0,2016,53646,1024286.015,250375.8202,TOMLINSON AVENUE,NEILL AVENUE
95,1,95,1,1,0,0,2016,51702,1026950.481,225016.4949,COLLEGE POINT BOULEVARD,15 AVENUE
96,1,96,1,0,1,0,2016,27573,1003983.923,193287.9343,HART STREET,EVERGREEN AVENUE
97,1,97,2,2,0,0,2016,29769,1018818.847,188044.6181,FULTON STREET,CHESTNUT STREET
98,1,98,1,1,0,0,2016,43875,1005283.281,243518.5045,SHAKESPEARE AVENUE,JEROME AVENUE
99,1,99,1,1,0,0,2016,42369,1008685.039,221130.7386,33 STREET,23 AVENUE
100,1,100,1,1,0,0,2016,44769,1009410.051,253587.8479,WEST FORDHAM ROAD,SEDGWICK AVENUE
101,1,101,1,1,0,0,2016,52535,1021896.803,248869.665,BARNES AVENUE,BRONXDALE AVENUE
102,1,102,1,0,0,1,2016,30552,1019237.888,197100.8135,COOPER AVENUE,78 STREET
103,1,103,1,1,0,0,2016,53421,1020926.323,259051.4455,EAST GUN HILL ROAD,WHITE PLAINS ROAD
104,1,104,1,1,0,0,2016,43356,1000537.759,245018.3243,BROADWAY,WEST 165 STREET
105,1,105,1,0,1,0,2016,28958,1015689.585,178369.933,VERMONT STREET,WORTMAN AVENUE
106,1,106,1,1,0,0,2016,12842,985968.5891,158583.2541,BAY PARKWAY,86 STREET
107,1,107,1,0,0,1,2016,46844,1018419.708,214225.6871,91 STREET,34 AVENUE
108,1,108,1,1,0,0,2016,20760,987744.4615,200974.1161,DELANCEY STREET,NORFOLK STREET
109,1,109,1,1,0,0,2016,34276,1038234.881,187461.4106,VAN WYCK EXPRESSWAY SR WEST,115 AVENUE
110,1,110,1,0,0,1,2016,29342,1013124.512,181378.3456,LIVONIA AVENUE,GEORGIA AVENUE
111,1,111,1,1,0,0,2016,17422,993641.1229,166857.1414,AVENUE J,EAST 10 STREET
112,1,112,1,1,0,0,2016,10803,963251.706,167595.9359,BAY STREET,CANAL STREET
113,1,113,1,1,0,0,2016,8414,959567.1501,154306.5796,ATLANTIC AVENUE,HYLAN BOULEVARD
114,1,114,1,0,0,1,2016,54180,1022979.219,260887.2457,BARNES AVENUE,EAST 219 STREET
115,1,115,1,1,0,0,2016,21212,984088.1466,215324.6511,11 AVENUE,WEST 37 STREET
116,1,116,1,0,0,1,2016,49138,1017650.119,257602.9839,EAST 204 STREET,EAST 205 STREET
117,1,117,1,1,0,0,2016,29309,1012441.626,186181.9512,SHEFFIELD AVENUE,JAMAICA AVENUE
118,1,118,1,1,0,0,2016,23781,999285.4748,222676.8641,EAST 89 STREET,YORK AVENUE
119,1,119,1,1,0,0,2016,21235,984643.2636,217724.5413,WEST 46 STREET,12 AVENUE
120,1,120,1,1,0,0,2016,23610,996806.6707,225842.3791,EAST 95 STREET,MADISON AVENUE
121,1,121,1,0,1,0,2016,46674,1016090.09,210347.2893,WOODSIDE AVENUE,BROADWAY
122,1,122,1,1,0,0,2016,52751,1024136.068,243850.0954,STARLING AVENUE,UNIONPORT ROAD
123,1,123,1,1,0,0,2016,22813,994001.283,216160.6632,2 AVENUE,EAST 58 STREET
124,1,124,1,1,0,0,2016,19748,997424.9011,192488.6377,NOSTRAND AVENUE,MYRTLE AVENUE
125,1,125,1,1,0,0,2016,9171,959230.7465,161311.3457,NARROWS ROAD NORTH,RICHMOND ROAD
126,1,126,1,1,0,0,2016,14150,986092.0632,172900.3117,43 STREET,FT HAMILTON PARKWAY
127,1,127,2,2,0,0,2016,22932,995022.2882,219470.0654,EAST 71 STREET,3 AVENUE
128,1,128,1,1,0,0,2016,23529,995634.5602,221618.3655,LEXINGTON AVENUE,EAST 79 STREET
129,1,129,1,1,0,0,2016,48135,1014555.709,248585.4169,HUGHES AVENUE,EAST 180 STREET
130,1,130,1,1,0,0,2016,24397,999628.6238,243378.8955,BROADWAY,WEST 158 STREET
