FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,MN,YR,NODEID,nodeX,nodeY,STREET1,STREET2
64,1,64,1,1,0,0,5,2016,38031,1052204.137000000100000,159910.977500000010000,BEACH CHANNEL DRIVE,MOTT AVENUE
65,1,65,1,0,1,0,5,2016,28958,1015689.585100000000000,178369.932999999990000,VERMONT STREET,WORTMAN AVENUE
66,1,66,1,0,0,1,5,2016,46844,1018419.707600000000000,214225.687100000010000,91 STREET,34 AVENUE
67,1,67,1,1,0,0,5,2016,22932,995022.288199999950000,219470.065399999990000,EAST 71 STREET,3 AVENUE
68,1,68,1,1,0,0,5,2016,34174,1037001.349500000000000,187000.643799999990000,131 STREET,115 AVENUE
69,1,69,1,0,0,1,5,2016,22528,990305.817900000020000,217267.714799999990000,WEST 55 STREET,AVENUE OF THE AMERICAS
70,1,70,1,1,0,0,5,2016,43866,1005483.382100000000000,241803.554200000010000,GERARD AVENUE,EAST 164 STREET
71,1,71,1,0,1,0,6,2016,19991,980632.923599999980000,200300.190299999990000,WARREN STREET,WEST STREET
72,1,72,1,0,1,0,6,2016,57324,1030672.297600000000000,243633.176500000000000,EAST TREMONT AVENUE,PURITAN AVENUE
73,1,73,1,1,0,0,6,2016,8621,952098.415299999990000,160393.529299999990000,WESTWOOD AVENUE,FINE BOULEVARD
74,1,74,1,0,0,1,6,2016,40685,1001593.357400000000000,206612.076999999990000,REVIEW AVENUE,37 STREET
75,1,75,1,0,0,1,6,2016,54241,1023777.410100000000000,260553.663700000000000,BRONXWOOD AVENUE,EAST 219 STREET
76,1,76,1,1,0,0,6,2016,21731,989277.025000000020000,223301.013100000010000,BROADWAY,WEST 73 STREET
77,1,77,1,1,0,0,6,2016,55656,1033927.182500000000000,218034.379900000000000,NORTHERN BOULEVARD,146 STREET
78,1,78,1,1,0,0,6,2016,49877,1021810.446800000000000,206724.284799999990000,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD
79,1,79,1,0,1,0,6,2016,27573,1003983.923100000000000,193287.934299999990000,HART STREET,EVERGREEN AVENUE
80,1,80,1,1,0,0,6,2016,53421,1020926.323300000000000,259051.445500000000000,EAST GUN HILL ROAD,WHITE PLAINS ROAD
81,1,81,1,0,0,1,6,2016,29342,1013124.511500000000000,181378.345600000000000,LIVONIA AVENUE,GEORGIA AVENUE
82,1,82,1,1,0,0,6,2016,23529,995634.560199999950000,221618.365500000010000,LEXINGTON AVENUE,EAST 79 STREET
83,1,83,1,0,0,1,6,2016,38540,1055964.828299999900000,172110.972799999990000,BROOKVILLE BOULEVARD,ROCKAWAY BOULEVARD
84,1,84,1,1,0,0,6,2016,21554,989203.415299999990000,219715.160700000010000,BROADWAY,WEST 61 STREET
85,1,85,1,1,0,0,6,2016,21734,989425.826299999960000,223826.011700000000000,BROADWAY,WEST 75 STREET
86,1,86,3,0,0,3,6,2016,3394,934757.523799999970000,157860.287000000010000,TRAVIS AVENUE,VICTORY BOULEVARD
87,1,87,1,1,0,0,6,2016,20853,987580.206899999990000,209196.731300000010000,EAST 23 STREET,MADISON AVENUE
88,1,88,1,1,0,0,6,2016,21381,987127.011999999990000,211529.770200000000000,WEST 30 STREET,AVENUE OF THE AMERICAS
89,1,89,1,1,0,0,6,2016,26509,1007120.285000000000000,177671.440299999990000,LINDEN BOULEVARD,CHURCH AVENUE
90,1,90,1,1,0,0,6,2016,21346,986568.184299999960000,214236.838300000000000,8 AVENUE,WEST 38 STREET
91,1,91,1,1,0,0,6,2016,15623,985813.835399999980000,190749.343599999990000,ATLANTIC AVENUE,CLINTON STREET
92,1,92,1,1,0,0,12,2016,133,915211.803700000050000,125369.633800000000000,MAIN STREET,CRAIG AVENUE
93,1,93,1,0,0,1,12,2016,54867,1033968.342200000000000,200375.449400000010000,GRAND CENTRAL PARKWAY ET 14 EB,UNION TURNPIKE
94,1,94,1,1,0,0,12,2016,21281,985121.999599999980000,215339.179000000000000,WEST 39 STREET,10 AVENUE
95,1,95,1,1,0,0,12,2016,41416,1001760.922300000000000,216128.858799999990000,21 STREET,36 AVENUE
96,1,96,1,1,0,0,12,2016,28897,1014771.597700000000000,176526.572500000010000,FLATLANDS AVENUE,LOUISIANA AVENUE
97,1,97,1,0,1,0,12,2016,21327,985733.081000000010000,219801.702500000010000,WEST 55 STREET,12 AVENUE
98,1,98,1,1,0,0,12,2016,29309,1012441.625700000000000,186181.951200000010000,SHEFFIELD AVENUE,JAMAICA AVENUE
99,1,99,1,1,0,0,12,2016,19748,997424.901100000020000,192488.637699999990000,NOSTRAND AVENUE,MYRTLE AVENUE
100,1,100,1,1,0,0,12,2016,48135,1014555.709400000100000,248585.416900000010000,HUGHES AVENUE,EAST 180 STREET
101,1,101,1,1,0,0,12,2016,47622,1017371.665000000000000,238522.087600000000000,STORY AVENUE,COLGATE AVENUE
102,1,102,1,0,0,1,12,2016,32533,1025311.064800000100000,198211.913700000000000,METROPOLITAN AVENUE,70 DRIVE
103,1,103,1,0,0,1,12,2016,14181,987281.424400000020000,172954.304100000010000,40 STREET,12 AVENUE
104,1,104,1,1,0,0,12,2016,13521,985205.536100000030000,167942.913500000000000,60 STREET,NEW UTRECHT AVENUE
105,1,105,1,1,0,0,12,2016,19414,993007.421800000010000,197131.982800000000000,KENT AVENUE,SOUTH 11 STREET
106,1,106,1,0,0,1,7,2016,26907,1004800.965800000000000,181823.022900000010000,EAST NEW YORK AVENUE,BUFFALO AVENUE
107,1,107,1,0,1,0,7,2016,25199,1004653.331600000000000,155733.187600000000000,GERRITSEN AVENUE,DEVON AVENUE
108,1,108,1,1,0,0,7,2016,28123,1013396.755300000000000,144243.384800000000000,MARSHALL ROAD,CENTER ROAD
109,1,109,1,1,0,0,7,2016,34279,1038518.770999999900000,187570.973999999990000,VAN WYCK EXPRESSWAY SR EAST,115 AVENUE
110,1,110,1,0,0,1,7,2016,53473,1021536.988100000000000,257120.173100000010000,HOLLAND AVENUE,SOUTH OAK DRIVE
111,1,111,1,1,0,0,7,2016,51956,1020889.564800000100000,239808.187400000000000,ROSEDALE AVENUE,BRUCKNER BOULEVARD
112,1,112,1,1,0,0,7,2016,13404,984016.224200000060000,162469.023500000010000,79 STREET,NEW UTRECHT AVENUE
113,1,113,1,0,0,1,7,2016,34105,1036739.040400000100000,186902.451700000010000,130 STREET,115 AVENUE
114,1,114,1,1,0,0,7,2016,21235,984643.263599999950000,217724.541300000010000,WEST 46 STREET,12 AVENUE
115,1,115,1,0,1,0,7,2016,46674,1016090.089500000000000,210347.289300000000000,WOODSIDE AVENUE,BROADWAY
116,1,116,1,1,0,0,7,2016,22813,994001.283000000050000,216160.663200000010000,2 AVENUE,EAST 58 STREET
117,1,117,1,1,0,0,7,2016,44087,1007046.784400000000000,245787.204300000010000,MACOMBS ROAD,PLAZA DRIVE
118,1,118,1,1,0,0,7,2016,47254,1011105.447300000000000,234165.180700000000000,EAST 149 STREET,BRUCKNER BOULEVARD
119,1,119,1,1,0,0,7,2016,22098,996133.460100000030000,201007.442899999990000,BEDFORD AVENUE,NORTH 8 STREET
120,1,120,1,0,1,0,7,2016,19948,999332.518700000020000,198493.077800000000000,GRAND STREET,MANHATTAN AVENUE
121,1,121,1,1,0,0,8,2016,47579,1016698.211700000000000,239230.554100000010000,BRUCKNER EXPRESSWAY EXIT 51 WB,BRUCKNER BOULEVARD
122,1,122,1,1,0,0,8,2016,41663,1005140.899200000000000,216757.263100000010000,BROADWAY,32 STREET
123,1,123,1,1,0,0,8,2016,48414,1018455.222600000000000,241320.162799999990000,WESTCHESTER AVENUE,MANOR AVENUE
124,1,124,1,1,0,0,8,2016,23360,991278.755299999960000,228307.577599999990000,WEST 93 STREET,WEST END AVENUE
125,1,125,1,0,0,1,8,2016,29376,1013036.598300000000000,186073.316200000000000,NEW JERSEY AVENUE,FULTON STREET
126,1,126,1,0,0,1,8,2016,52612,1022499.459900000000000,245893.332700000000000,EAST TREMONT AVENUE,DOGWOOD DRIVE
127,1,127,2,2,0,0,8,2016,29769,1018818.847200000000000,188044.618099999990000,FULTON STREET,CHESTNUT STREET
128,1,128,1,1,0,0,8,2016,52535,1021896.803300000000000,248869.665000000010000,BARNES AVENUE,BRONXDALE AVENUE
129,1,129,1,1,0,0,8,2016,8414,959567.150099999970000,154306.579600000000000,ATLANTIC AVENUE,HYLAN BOULEVARD
130,1,130,1,1,0,0,8,2016,9171,959230.746500000010000,161311.345700000010000,NARROWS ROAD NORTH,RICHMOND ROAD
