FID,YR,NODEID,Lon,Lat,Injuries_COUNT,PedInjurie_COUNT,BikeInjuri_COUNT,MVOInjurie_COUNT,Injuries,PedInjurie,BikeInjuri,MVOInjurie
2775,2016,7011,-74.13254602,40.63711555,1,0,0,1,1,0,0,1
2776,2016,47861,-73.9026881,40.84458147,12,0,0,12,1,0,0,1
2777,2016,50284,-73.84687066,40.72455772,1,1,0,0,1,1,0,0
2778,2016,18232,-73.95943419,40.64735813,1,0,0,1,1,0,0,1
2779,2016,21394,-73.98729377,40.75045161,6,4,1,1,1,1,1,1
2780,2016,51024,-73.85383081,40.75495834,2,0,1,1,1,0,1,1
2781,2016,9037455,-73.79135174,40.59187641,2,0,0,2,1,0,0,1
2782,2016,23616,-73.95528233,40.78858446,2,1,1,0,1,1,1,0
2783,2016,48748,-73.89841038,40.86229697,4,2,0,2,1,1,0,1
2784,2016,46240,-73.90690774,40.76888812,9,1,2,6,1,1,1,1
2785,2016,41803,-73.91770217,40.77039311,7,1,0,6,1,1,0,1
2786,2016,43170,-73.91101308,40.81597631,2,0,0,2,1,0,0,1
2787,2016,26826,-73.93457098,40.68056476,1,0,0,1,1,0,0,1
2788,2016,41483,-73.93538955,40.76135538,2,1,0,1,1,1,0,1
2789,2016,19732,-73.95433904,40.7140717,3,2,1,0,1,1,1,0
2790,2016,29291,-73.8989909,40.67274371,4,0,0,4,1,0,0,1
2791,2016,36335,-73.79034357,40.67603965,1,1,0,0,1,1,0,0
2792,2016,24210,-73.95019639,40.80641257,1,0,0,1,1,0,0,1
2793,2016,44256,-73.90869131,40.83393835,1,0,0,1,1,0,0,1
2794,2016,19884,-73.94795407,40.71561683,2,0,0,2,1,0,0,1
2795,2016,50375,-73.84367923,40.71976191,1,0,0,1,1,0,0,1
2796,2016,48949,-73.88844848,40.85602354,2,1,0,1,1,1,0,1
2797,2016,51955,-73.86780296,40.82298892,5,0,0,5,1,0,0,1
2798,2016,19126,-73.97678643,40.69808695,1,0,1,0,1,0,1,0
2799,2016,43204,-73.91069999,40.82232411,3,0,0,3,1,0,0,1
2800,2016,21452,-73.98639931,40.75169999,2,1,0,1,1,1,0,1
2801,2016,61169,-73.74838578,40.7210169,1,1,0,0,1,1,0,0
2802,2016,35040,-73.81262881,40.71354408,1,0,0,1,1,0,0,1
2803,2016,33939,-73.82049998,40.67874938,4,1,0,3,1,1,0,1
2804,2016,48355,-73.87823501,40.82866002,3,2,1,0,1,1,1,0
2805,2016,20989,-73.98105847,40.73321141,1,0,0,1,1,0,0,1
2806,2016,24136,-73.95347673,40.80191664,2,1,0,1,1,1,0,1
2807,2016,42728,-73.93084531,40.81088056,2,0,0,2,1,0,0,1
2808,2016,53779,-73.85170987,40.87269746,6,2,0,4,1,1,0,1
2809,2016,43956,-73.9186258,40.82910806,1,0,0,1,1,0,0,1
2810,2016,7357,-74.11376161,40.56649719,10,2,0,8,1,1,0,1
2811,2016,7001,-74.13261939,40.63501346,3,0,0,3,1,0,0,1
2812,2016,37816,-73.7659886,40.70030678,3,0,0,3,1,0,0,1
2813,2016,25849,-73.91801699,40.61714692,2,0,0,2,1,0,0,1
2814,2016,19540,-73.95942791,40.69044727,2,2,0,0,1,1,0,0
2815,2016,43510,-73.93639683,40.84954119,1,1,0,0,1,1,0,0
2816,2016,46537,-73.89240907,40.74713533,3,2,1,0,1,1,1,0
2817,2016,57660,-73.81955371,40.8322962,2,0,0,2,1,0,0,1
2818,2016,43955,-73.91894388,40.83033432,1,1,0,0,1,1,0,0
2819,2016,22711,-73.97028166,40.76802503,3,0,1,2,1,0,1,1
2820,2016,15136,-74.01425524,40.70442547,1,0,0,1,1,0,0,1
2821,2016,35337,-73.79939694,40.7054194,1,1,0,0,1,1,0,0
2822,2016,50879,-73.86272634,40.74986794,9,6,1,2,1,1,1,1
2823,2016,53285,-73.83500748,40.83810722,5,1,0,4,1,1,0,1
2824,2016,63143,-73.70288412,40.74663016,1,0,0,1,1,0,0,1
2825,2016,52429,-73.87030136,40.8435487,2,0,0,2,1,0,0,1
2826,2016,6213,-74.14486448,40.61178758,1,0,0,1,1,0,0,1
2827,2016,27104,-73.91730571,40.66870858,8,0,0,8,1,0,0,1
2828,2016,3559,-74.16033357,40.58479522,1,1,0,0,1,1,0,0
2829,2016,46897,-73.8723845,40.74634709,2,0,0,2,1,0,0,1
2830,2016,22638,-73.97042167,40.74576879,2,0,0,2,1,0,0,1
2831,2016,5717,-74.13040044,40.58275897,8,0,0,8,1,0,0,1
2832,2016,41906,-73.90801589,40.74859021,2,1,1,0,1,1,1,0
2833,2016,42455,-73.94275496,40.81660099,1,1,0,0,1,1,0,0
2834,2016,21164,-74.00263944,40.76015751,6,0,0,6,1,0,0,1
2835,2016,31767,-73.84879029,40.68000944,1,0,1,0,1,0,1,0
2836,2016,14633,-73.99741627,40.67034862,3,0,1,2,1,0,1,1
2837,2016,13271,-74.00922359,40.63063393,9,3,0,6,1,1,0,1
2838,2016,55356,-73.80216724,40.73299114,1,0,0,1,1,0,0,1
2839,2016,26160,-73.93541604,40.65350426,1,1,0,0,1,1,0,0
2840,2016,48878,-73.88991821,40.85679771,1,0,0,1,1,0,0,1
2841,2016,25997,-73.90916641,40.62563352,1,0,0,1,1,0,0,1
2842,2016,5735,-74.12714564,40.59833036,1,1,0,0,1,1,0,0
2843,2016,26094,-73.93905114,40.65132622,8,0,1,7,1,0,1,1
2844,2016,26839,-73.93295848,40.68749645,2,0,1,1,1,0,1,1
2845,2016,27255,-73.90855622,40.66869494,1,1,0,0,1,1,0,0
2846,2016,47964,-73.89934758,40.84473793,1,1,0,0,1,1,0,0
2847,2016,53566,-73.86164442,40.87685661,2,1,0,1,1,1,0,1
2848,2016,26921,-73.92792888,40.67310556,3,0,0,3,1,0,0,1
2849,2016,46629,-73.88782276,40.7534356,1,0,1,0,1,0,1,0
2850,2016,38036,-73.75353788,40.60456897,5,2,1,2,1,1,1,1
2851,2016,48683,-73.89996576,40.8680173,6,3,0,3,1,1,0,1
2852,2016,29430,-73.88967614,40.67019338,4,0,0,4,1,0,0,1
2853,2016,39811,-73.75557876,40.6997715,5,0,0,5,1,0,0,1
2854,2016,49614,-73.87995799,40.88439063,4,1,0,3,1,1,0,1
2855,2016,52455,-73.86872263,40.85242385,1,0,0,1,1,0,0,1
2856,2016,50828,-73.86559391,40.76488736,1,0,0,1,1,0,0,1
2857,2016,12092,-74.02456734,40.64177087,1,0,0,1,1,0,0,1
2858,2016,48977,-73.88683317,40.86538999,2,0,0,2,1,0,0,1
2859,2016,53487,-73.86471556,40.8768347,8,1,0,7,1,1,0,1
2860,2016,16713,-73.96410667,40.5979858,1,0,0,1,1,0,0,1
2861,2016,9522,-74.09252254,40.63332618,1,0,0,1,1,0,0,1
2862,2016,21514,-73.9822749,40.7515773,6,4,2,0,1,1,1,0
2863,2016,35003,-73.81301883,40.70249516,3,1,0,2,1,1,0,1
2864,2016,28661,-73.90269357,40.63389376,2,0,0,2,1,0,0,1
2865,2016,46561,-73.89094769,40.75497374,2,0,0,2,1,0,0,1
2866,2016,23726,-73.95022874,40.78974181,1,1,0,0,1,1,0,0
2867,2016,23268,-73.97690314,40.77999736,2,0,0,2,1,0,0,1
2868,2016,13605,-73.98737795,40.60812812,5,0,0,5,1,0,0,1
2869,2016,41946,-73.90900804,40.76854719,1,1,0,0,1,1,0,0
2870,2016,48998,-73.88680657,40.87401232,1,0,0,1,1,0,0,1
2871,2016,44240,-73.90971374,40.83047001,1,0,1,0,1,0,1,0
2872,2016,38154,-73.74345917,40.60020983,1,1,0,0,1,1,0,0
2873,2016,43045,-73.91499675,40.80487252,4,1,0,3,1,1,0,1
2874,2016,10912,-74.07253552,40.62246402,2,0,0,2,1,0,0,1
2875,2016,15888,-73.98962349,40.70252323,1,0,1,0,1,0,1,0
2876,2016,60681,-73.78595259,40.84583192,4,0,0,4,1,0,0,1
2877,2016,29270,-73.8981579,40.66574697,2,2,0,0,1,1,0,0
2878,2016,37096,-73.79240296,40.69815204,2,0,0,2,1,0,0,1
2879,2016,48148,-73.88997028,40.85210323,1,0,0,1,1,0,0,1
2880,2016,40307,-73.73313918,40.69493847,3,0,1,2,1,0,1,1
2881,2016,13490,-73.99425412,40.61878917,4,0,1,3,1,0,1,1
2882,2016,35226,-73.80564773,40.70467173,3,0,1,2,1,0,1,1
2883,2016,17858,-73.97641569,40.63816774,3,1,1,1,1,1,1,1
2884,2016,17502,-73.96184657,40.62757082,2,2,0,0,1,1,0,0
2885,2016,19451,-73.96283559,40.6885548,2,0,1,1,1,0,1,1
2886,2016,50703,-73.87084216,40.75154469,6,2,2,2,1,1,1,1
2887,2016,34580,-73.8248088,40.69475996,4,1,0,3,1,1,0,1
2888,2016,14695,-73.99787114,40.68295737,5,1,0,4,1,1,0,1
2889,2016,41553,-73.92943441,40.76238009,3,0,0,3,1,0,0,1
2890,2016,23867,-73.96955967,40.80293788,1,0,0,1,1,0,0,1
2891,2016,22548,-73.9730267,40.74445004,1,1,0,0,1,1,0,0
2892,2016,27874,-73.91475403,40.6921653,1,1,0,0,1,1,0,0
2893,2016,18497,-73.94360431,40.64927899,11,1,0,10,1,1,0,1
2894,2016,21201,-73.99963229,40.75391808,4,0,0,4,1,0,0,1
2895,2016,56612,-73.80823641,40.78296243,2,2,0,0,1,1,0,0
2896,2016,27969,-73.91106712,40.70299805,1,1,0,0,1,1,0,0
2897,2016,49128,-73.88086015,40.87097036,3,0,0,3,1,0,0,1
2898,2016,46543,-73.88957128,40.74703905,4,2,1,1,1,1,1,1
2899,2016,50309,-73.84840403,40.73565687,1,1,0,0,1,1,0,0
2900,2016,55102,-73.81285,40.71885895,2,0,0,2,1,0,0,1
2901,2016,19665,-73.95509127,40.70138162,4,3,1,0,1,1,1,0
2902,2016,34661,-73.82302789,40.69355718,1,1,0,0,1,1,0,0
2903,2016,16808,-73.96078883,40.59301448,1,0,1,0,1,0,1,0
2904,2016,54302,-73.8536819,40.88232825,2,0,0,2,1,0,0,1
2905,2016,22931,-73.95786874,40.76524232,4,2,0,2,1,1,0,1
2906,2016,36879,-73.76501873,40.6650206,2,0,0,2,1,0,0,1
2907,2016,18566,-73.97631628,40.68250861,2,0,1,1,1,0,1,1
2908,2016,32103,-73.83536865,40.68284322,1,1,0,0,1,1,0,0
2909,2016,54452,-73.84836417,40.88561021,1,0,0,1,1,0,0,1
2910,2016,22372,-73.94641698,40.71648744,1,0,1,0,1,0,1,0
2911,2016,17088,-73.94847249,40.60444546,7,1,0,6,1,1,0,1
2912,2016,47498,-73.88843363,40.82193238,10,0,0,10,1,0,0,1
2913,2016,48673,-73.90118251,40.86418292,1,0,0,1,1,0,0,1
2914,2016,34364,-73.79923237,40.67622554,2,0,0,2,1,0,0,1
2915,2016,24138,-73.9525561,40.80152925,1,0,0,1,1,0,0,1
