FID,MN,YR,NODEID,Lon,Lat,Injuries_COUNT,PedInjurie_COUNT,BikeInjuri_COUNT,MVOInjurie_COUNT,Injuries,PedInjurie,BikeInjuri,MVOInjurie
105314,4,2016,48331,-73.88447847,40.85004463,1,1,0,0,1,1,0,0
124191,3,2016,48333,-73.88311983,40.84822109,1,0,0,1,1,0,0,1
177762,11,2016,48333,-73.88311983,40.84822109,1,0,0,1,1,0,0,1
83783,5,2016,48334,-73.88284446,40.84781723,1,0,0,1,1,0,0,1
159004,12,2016,48336,-73.88288269,40.84907405,2,0,0,2,1,0,0,1
41946,7,2016,48340,-73.88471538,40.85175878,3,0,0,3,1,0,0,1
84170,5,2016,48340,-73.88471538,40.85175878,2,2,0,0,1,1,0,0
105326,4,2016,48340,-73.88471538,40.85175878,1,1,0,0,1,1,0,0
177799,11,2016,48340,-73.88471538,40.85175878,2,0,0,2,1,0,0,1
62701,6,2016,48345,-73.88255745,40.85022426,2,0,0,2,1,0,0,1
196974,10,2016,48347,-73.88200299,40.85218936,1,0,0,1,1,0,0,1
21754,8,2016,48348,-73.88135158,40.8256553,1,0,0,1,1,0,0,1
63401,6,2016,48350,-73.8795012,40.82590471,1,1,0,0,1,1,0,0
197972,10,2016,48350,-73.8795012,40.82590471,1,0,0,1,1,0,0,1
218904,1,2016,48350,-73.8795012,40.82590471,1,0,0,1,1,0,0,1
125275,3,2016,48351,-73.87857786,40.82602976,1,0,0,1,1,0,0,1
219221,1,2016,48351,-73.87857786,40.82602976,2,2,0,0,1,1,0,0
22081,8,2016,48352,-73.8810451,40.82843181,1,1,0,0,1,1,0,0
267,9,2016,48353,-73.88011211,40.82851167,1,0,0,1,1,0,0,1
42539,7,2016,48354,-73.87917067,40.82858218,1,1,0,0,1,1,0,0
84841,5,2016,48354,-73.87917067,40.82858218,1,1,0,0,1,1,0,0
158985,12,2016,48354,-73.87917067,40.82858218,1,0,1,0,1,0,1,0
104361,4,2016,48355,-73.87823501,40.82866002,2,1,1,0,1,1,1,0
176964,11,2016,48355,-73.87823501,40.82866002,1,1,0,0,1,1,0,0
142818,2,2016,48359,-73.87976849,40.83113918,1,0,0,1,1,0,0,1
217871,1,2016,48361,-73.87884558,40.83126526,1,1,0,0,1,1,0,0
101,9,2016,48365,-73.8792524,40.83442479,1,0,0,1,1,0,0,1
61579,6,2016,48365,-73.8792524,40.83442479,1,0,1,0,1,0,1,0
123020,3,2016,48365,-73.8792524,40.83442479,2,0,0,2,1,0,0,1
