FID,YR,NODEID,Lon,Lat,Fatalities_COUNT,PedFatalit_COUNT,BikeFatali_COUNT,MVOFatalit_COUNT,Fatalities,PedFatalit,BikeFatali,MVOFatalit
60,2016,46864,-73.87632828,40.76318053,1,1,0,0,1,1,0,0
61,2016,29376,-73.89621774,40.67735818,1,0,0,1,1,0,0,1
62,2016,21508,-73.98202464,40.74904954,1,1,0,0,1,1,0,0
63,2016,17461,-73.96196553,40.60784311,1,1,0,0,1,1,0,0
64,2016,26822,-73.93308084,40.67756328,1,1,0,0,1,1,0,0
65,2016,41621,-73.92847136,40.76906017,1,1,0,0,1,1,0,0
66,2016,28752,-73.89939429,40.63882374,1,1,0,0,1,1,0,0
67,2016,49462,-73.89776669,40.89050939,1,1,0,0,1,1,0,0
68,2016,54241,-73.85705654,40.88174523,1,0,0,1,1,0,0,1
69,2016,49124,-73.87954517,40.86771205,1,0,1,0,1,0,1,0
70,2016,21731,-73.98184861,40.77958449,1,1,0,0,1,1,0,0
71,2016,51956,-73.86761326,40.82481759,1,1,0,0,1,1,0,0
72,2016,49295,-73.87159658,40.87864614,1,0,0,1,1,0,0,1
73,2016,52612,-73.86176167,40.84151272,1,0,0,1,1,0,0,1
74,2016,21327,-73.99464572,40.769981099999995,1,0,1,0,1,0,1,0
75,2016,27013,-73.92295908,40.68414766,1,1,0,0,1,1,0,0
76,2016,30162,-73.89423422,40.70082738,1,1,0,0,1,1,0,0
77,2016,42513,-73.93761715,40.81274036,1,1,0,0,1,1,0,0
78,2016,2475,-74.1681312,40.52664179,1,0,0,1,1,0,0,1
79,2016,42121,-73.93445599,40.79730989,1,1,0,0,1,1,0,0
80,2016,31820,-73.84279053,40.67061513,1,1,0,0,1,1,0,0
81,2016,21549,-73.98003576,40.76552103,1,1,0,0,1,1,0,0
82,2016,53298,-73.8377541,40.84288591,1,0,0,1,1,0,0,1
83,2016,43109,-73.91475121,40.82520047,1,1,0,0,1,1,0,0
84,2016,28703,-73.90143323,40.64570373,2,0,0,2,1,0,0,1
85,2016,54303,-73.85588387,40.88386172,1,0,0,1,1,0,0,1
86,2016,55656,-73.82066667,40.76499081,1,1,0,0,1,1,0,0
87,2016,13404,-74.000842,40.61261629,1,1,0,0,1,1,0,0
88,2016,49877,-73.86447086,40.73400727,1,1,0,0,1,1,0,0
89,2016,16715,-73.96210267,40.59820611,1,0,1,0,1,0,1,0
90,2016,16607,-73.96514385,40.59110192,1,0,0,1,1,0,0,1
91,2016,24259,-73.94535906,40.79928686,1,1,0,0,1,1,0,0
92,2016,34105,-73.81075877,40.67952516,1,0,0,1,1,0,0,1
93,2016,38031,-73.75527385,40.60533444,1,1,0,0,1,1,0,0
94,2016,53646,-73.85527808,40.85380789,1,0,1,0,1,0,1,0
95,2016,51702,-73.84580796,40.78419131,1,1,0,0,1,1,0,0
96,2016,27573,-73.92883355,40.69718546,1,0,1,0,1,0,1,0
97,2016,29769,-73.87536132,40.68274826,2,2,0,0,1,1,0,0
98,2016,43875,-73.92399049,40.8350523,1,1,0,0,1,1,0,0
99,2016,42369,-73.9117788,40.77359531,1,1,0,0,1,1,0,0
100,2016,44769,-73.90903951,40.86267886,1,1,0,0,1,1,0,0
101,2016,52535,-73.86392303,40.84968446,1,1,0,0,1,1,0,0
102,2016,30552,-73.87380342,40.70760375,1,0,0,1,1,0,0,1
103,2016,53421,-73.86737517,40.87763442,1,1,0,0,1,1,0,0
104,2016,43356,-73.94113609,40.83917889,1,1,0,0,1,1,0,0
105,2016,28958,-73.88668905,40.6562051,1,0,1,0,1,0,1,0
106,2016,12842,-73.99381109,40.60195049,1,1,0,0,1,1,0,0
107,2016,46844,-73.87666752,40.75461048,1,0,0,1,1,0,0,1
108,2016,20760,-73.98739393,40.71830352,1,1,0,0,1,1,0,0
109,2016,34276,-73.80536128,40.68105037,1,1,0,0,1,1,0,0
110,2016,29342,-73.89592090000001,40.66447126,1,0,0,1,1,0,0,1
111,2016,17422,-73.9661696,40.62465579,1,1,0,0,1,1,0,0
112,2016,10803,-74.07564614,40.62666372,1,1,0,0,1,1,0,0
113,2016,8414,-74.08887113,40.59017768,1,1,0,0,1,1,0,0
114,2016,54180,-73.85994112,40.88266434,1,0,0,1,1,0,0,1
115,2016,21212,-74.00058422,40.75769288,1,1,0,0,1,1,0,0
116,2016,49138,-73.87922942,40.87367185,1,0,0,1,1,0,0,1
117,2016,29309,-73.89836229,40.67765828,1,1,0,0,1,1,0,0
118,2016,23781,-73.94571188,40.77786001,1,1,0,0,1,1,0,0
119,2016,21235,-73.99858034,40.76427995,1,1,0,0,1,1,0,0
120,2016,23610,-73.9546561,40.78655237,1,1,0,0,1,1,0,0
121,2016,46674,-73.88509442,40.74397396,1,0,1,0,1,0,1,0
122,2016,52751,-73.85585892,40.83589739,1,1,0,0,1,1,0,0
123,2016,22813,-73.96480079999999,40.75998214,1,1,0,0,1,1,0,0
