FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,NODEID,Lon,Lat,STREET1,STREET2
112,1,112,1,1,0,0,2016,10803,-74.07564614,40.62666372,BAY STREET,CANAL STREET
113,1,113,1,1,0,0,2016,8414,-74.08887113,40.59017768,ATLANTIC AVENUE,HYLAN BOULEVARD
114,1,114,1,0,0,1,2016,54180,-73.85994112,40.88266434,BARNES AVENUE,EAST 219 STREET
115,1,115,1,1,0,0,2016,21212,-74.00058422,40.75769288,11 AVENUE,WEST 37 STREET
116,1,116,1,0,0,1,2016,49138,-73.87922942,40.87367185,EAST 204 STREET,EAST 205 STREET
117,1,117,1,1,0,0,2016,29309,-73.89836229,40.67765828,SHEFFIELD AVENUE,JAMAICA AVENUE
118,1,118,1,1,0,0,2016,23781,-73.94571188,40.77786001,EAST 89 STREET,YORK AVENUE
119,1,119,1,1,0,0,2016,21235,-73.99858034,40.76427995,WEST 46 STREET,12 AVENUE
120,1,120,1,1,0,0,2016,23610,-73.9546561,40.78655237,EAST 95 STREET,MADISON AVENUE
121,1,121,1,0,1,0,2016,46674,-73.88509442,40.74397396,WOODSIDE AVENUE,BROADWAY
122,1,122,1,1,0,0,2016,52751,-73.85585892,40.83589739,STARLING AVENUE,UNIONPORT ROAD
123,1,123,1,1,0,0,2016,22813,-73.9648008,40.75998214,2 AVENUE,EAST 58 STREET
124,1,124,1,1,0,0,2016,19748,-73.95248891,40.69500377,NOSTRAND AVENUE,MYRTLE AVENUE
125,1,125,1,1,0,0,2016,9171,-74.0901083,40.60940339,NARROWS ROAD NORTH,RICHMOND ROAD
126,1,126,1,1,0,0,2016,14150,-73.99336254,40.6412478,43 STREET,FT HAMILTON PARKWAY
127,1,127,2,2,0,0,2016,22932,-73.96110997,40.76906441,EAST 71 STREET,3 AVENUE
128,1,128,1,1,0,0,2016,23529,-73.95889591,40.77496016,LEXINGTON AVENUE,EAST 79 STREET
129,1,129,1,1,0,0,2016,48135,-73.89045917,40.84893253,HUGHES AVENUE,EAST 180 STREET
130,1,130,1,1,0,0,2016,24397,-73.94442546,40.83468077,BROADWAY,WEST 158 STREET
131,1,131,1,0,0,1,2016,38540,-73.74160078,40.6387911,BROOKVILLE BOULEVARD,ROCKAWAY BOULEVARD
132,1,132,1,0,0,1,2016,53456,-73.86351971,40.86550798,ALLERTON AVENUE,BARNES AVENUE
133,1,133,1,1,0,0,2016,21554,-73.98211704,40.76974231,BROADWAY,WEST 61 STREET
134,1,134,1,1,0,0,2016,34174,-73.80981228,40.67979311,131 STREET,115 AVENUE
135,1,135,1,1,0,0,2016,21775,-73.97875235,40.71993371,COLUMBIA STREET,EAST HOUSTON STREET
136,1,136,1,1,0,0,2016,48409,-73.87765492,40.8261517,WATSON AVENUE,BOYNTON AVENUE
137,1,137,1,1,0,0,2016,21734,-73.98131092,40.78102538,BROADWAY,WEST 75 STREET
138,1,138,1,1,0,0,2016,35485,-73.78899637,40.59241127,ROCKAWAY FREEWAY,BEACH 59 STREET
139,1,139,1,0,1,0,2016,26690,-73.94002977,40.66302074,ALBANY AVENUE,LEFFERTS AVENUE
140,1,140,3,0,0,3,2016,3394,-74.17822457,40.59982806,TRAVIS AVENUE,VICTORY BOULEVARD
141,1,141,1,0,1,0,2016,5043,-74.13704258,40.57290845,ANDREWS AVENUE,RICHMOND ROAD
142,1,142,1,1,0,0,2016,44087,-73.91760989,40.84127484,MACOMBS ROAD,PLAZA DRIVE
143,1,143,1,1,0,0,2016,47512,-73.8875343,40.82250934,LONGFELLOW AVENUE,BRUCKNER BOULEVARD
144,1,144,1,0,0,1,2016,22528,-73.97813932,40.76302401,WEST 55 STREET,AVENUE OF THE AMERICAS
145,1,145,1,1,0,0,2016,20853,-73.9879824,40.74087265,EAST 23 STREET,MADISON AVENUE
146,1,146,1,1,0,0,2016,13858,-74.00928151,40.64265634,6 AVENUE,52 STREET
147,1,147,1,0,0,1,2016,33940,-73.81958778,40.67900661,LINDEN BOULEVARD,120 STREET
148,1,148,1,1,0,0,2016,21381,-73.98961683,40.74727642,WEST 30 STREET,AVENUE OF THE AMERICAS
149,1,149,1,1,0,0,2016,12988,-73.98656942,40.59852397,25 AVENUE,85 STREET
150,1,150,1,1,0,0,2016,47622,-73.88033053,40.82130151,STORY AVENUE,COLGATE AVENUE
151,1,151,1,1,0,0,2016,26509,-73.91757589,40.65431417,LINDEN BOULEVARD,CHURCH AVENUE
152,1,152,1,1,0,0,2016,23785,-73.94659059,40.78069197,1 AVENUE,EAST 92 STREET
153,1,153,1,1,0,0,2016,33760,-73.82897169,40.68032655,111 STREET,109 AVENUE
154,1,154,1,1,0,0,2016,26515,-73.91530758,40.65422218,EAST 95 STREET,LINDEN BOULEVARD
155,1,155,1,1,0,0,2016,40160,-73.74050336,40.70343356,MURDOCK AVENUE,SPRINGFIELD BOULEVARD
156,1,156,1,1,0,0,2016,21346,-73.99163271,40.7547068,8 AVENUE,WEST 38 STREET
157,1,157,1,1,0,0,2016,21517,-73.9808871,40.75348099,EAST 42 STREET,5 AVENUE
158,1,158,1,1,0,0,2016,25714,-73.92249751,40.60980908,FLATBUSH AVENUE,AVENUE U
159,1,159,1,1,0,0,2016,43866,-73.9232728,40.83034478,GERARD AVENUE,EAST 164 STREET
160,1,160,1,1,0,0,2016,14995,-73.98630429,40.66917267,5 AVENUE,9 STREET
161,1,161,1,0,1,0,2016,18559,-73.97618051,40.67806432,STERLING PLACE,6 AVENUE
162,1,162,1,0,0,1,2016,30291,-73.88681137,40.69666795,CYPRESS HILLS STREET,80 AVENUE
163,1,163,1,0,1,0,2016,61734,-73.75848075,40.76199474,223 STREET,NORTHERN BOULEVARD
164,1,164,1,1,0,0,2016,13361,-74.003652,40.61704116,76 STREET,15 AVENUE
165,1,165,1,1,0,0,2016,20911,-73.98494103,40.7323476,2 AVENUE,EAST 14 STREET
166,1,166,1,0,0,1,2016,32533,-73.85189156,40.71062735,METROPOLITAN AVENUE,70 DRIVE
167,1,167,1,1,0,0,2016,47254,-73.90298796,40.8093643,EAST 149 STREET,BRUCKNER BOULEVARD
168,1,168,1,1,0,0,2016,46770,-73.88131498,40.75412313,86 STREET,34 AVENUE
169,1,169,1,1,0,0,2016,24089,-73.9545123,40.8106866,MORNINGSIDE AVENUE,WEST 124 STREET
170,1,170,1,1,0,0,2016,54341,-73.85538662,40.89887621,NEREID AVENUE,RICHARDSON AVENUE
171,1,171,1,1,0,0,2016,15812,-73.99301588,40.71435562,ALLEN STREET,DIVISION STREET
172,1,172,1,0,0,1,2016,14181,-73.98907692,40.64139567,40 STREET,12 AVENUE
173,1,173,1,1,0,0,2016,13521,-73.99655764,40.62764093,60 STREET,NEW UTRECHT AVENUE
174,1,174,1,1,0,0,2016,56610,-73.80862805,40.78372264,17 AVENUE,CLINTONVILLE STREET
175,1,175,1,1,0,0,2016,49049,-73.88273659,40.86604857,BEDFORD PARK BOULEVARD,SOUTHERN BOULEVARD
176,1,176,1,1,0,0,2016,15623,-73.99436093,40.69023948,ATLANTIC AVENUE,CLINTON STREET
177,1,177,1,1,0,0,2016,22098,-73.95713105,40.71838771,BEDFORD AVENUE,NORTH 8 STREET
178,1,178,1,1,0,0,2016,24918,-73.93675737,40.59881738,COYLE STREET,AVENUE V
179,1,179,1,0,1,0,2016,19948,-73.94559625,40.7114815,GRAND STREET,MANHATTAN AVENUE
180,1,180,1,1,0,0,2016,19414,-73.9684131,40.70775414,KENT AVENUE,SOUTH 11 STREET
181,1,181,1,0,0,1,2015,6080,-74.14864404,40.63236975,GRANITE AVENUE,HOOKER PLACE
182,1,182,1,0,0,1,2015,23449,-73.96646493,40.77818639,79 ST TRANSVERSE,EAST DRIVE
183,1,183,1,0,0,1,2015,40715,-73.93470451,40.71720882,VANDERVOORT AVENUE,MASPETH AVENUE
184,1,184,1,0,0,1,2015,28102,-73.90230596,40.56212821,ROCKAWAY BREEZY BOULEVARD,BEACH 193 STREET
185,1,185,1,0,0,1,2015,25296,-73.92095992,40.58909565,GERRITSEN AVENUE,SEBA AVENUE
186,1,186,1,1,0,0,2015,43135,-73.91248552,40.8047245,EAST 138 STREET,BRUCKNER BOULEVARD
187,1,187,1,1,0,0,2015,49370,-73.90409996,40.90686175,RIVERDALE AVENUE,WEST 259 STREET
188,1,188,1,0,0,1,2015,28762,-73.89882816,40.64200524,AVENUE J,ROCKAWAY PARKWAY
189,1,189,1,1,0,0,2015,49496,-73.89661002,40.90220351,BROADWAY,HENRY HUDSON PKWY ET 23 N SB
190,1,190,1,1,0,0,2015,46548,-73.89175155,40.74896464,74 STREET,37 AVENUE
191,1,191,1,0,0,1,2015,100663,-73.86625465,40.65225974,ERSKINE STREET,BELT PARKWAY WB EN ERSKINE ST
192,1,192,1,1,0,0,2015,53110,-73.8433882,40.84152106,EAST TREMONT AVENUE,LANE AVENUE
193,1,193,1,0,1,0,2015,18238,-73.96100797,40.6500826,OCEAN AVENUE,CHURCH AVENUE
194,1,194,1,1,0,0,2015,21478,-73.98564678,40.76291487,8 AVENUE,WEST 51 STREET
195,1,195,1,1,0,0,2015,12836,-73.99482296,40.59976449,BAY 31 STREET,BENSON AVENUE
196,1,196,1,1,0,0,2015,57484,-73.82781593,40.85260277,WESTCHESTER AVENUE,COLONIAL AVENUE
197,1,197,1,0,0,1,2015,36645,-73.77410278,40.66705261,SOUTH CONDUIT AVENUE,176 STREET
198,1,198,2,0,0,2,2015,9726,-74.08587512,40.59589012,QUINTARD STREET,HYLAN BOULEVARD
199,1,199,1,1,0,0,2015,33826,-73.82501129,40.68795232,103 AVENUE,LEFFERTS BOULEVARD
200,1,200,1,0,1,0,2015,14314,-74.01180312,40.67368962,VAN DYKE STREET,DWIGHT STREET
201,1,201,1,0,0,1,2015,11508,-74.03609458,40.61255855,SHORE ROAD,3 AVENUE
202,1,202,1,0,0,1,2015,52387,-73.86999761,40.83543682,ROSEDALE AVENUE,CROSS BRONX EXPRESSWAY SR SOUTH
203,1,203,1,0,0,1,2015,28762,-73.89882816,40.64200524,AVENUE J,ROCKAWAY PARKWAY
204,1,204,1,1,0,0,2015,7428,-74.11013947,40.56431067,MILL ROAD,EBBITTS STREET
205,1,205,1,1,0,0,2015,16303,-73.95287451,40.57688216,WEST END AVENUE,ORIENTAL BOULEVARD
206,1,206,1,0,0,1,2015,43774,-73.92613664,40.83505132,WOODYCREST AVENUE,WEST 166 STREET
207,1,207,1,1,0,0,2015,36454,-73.78265443,40.6673686,NORTH CONDUIT AVENUE,CRANSTON STREET
208,1,208,1,0,0,1,2015,47564,-73.88508708,40.8225341,EDGEWATER ROAD,BRUCKNER BOULEVARD
209,1,209,1,0,0,1,2015,3524,-74.16329246,40.60168212,SIGNS ROAD,RICHMOND AVENUE
210,1,210,1,0,0,1,2015,44792,-73.90904548,40.87722072,MARBLE HILL AVENUE,WEST 228 STREET
