NODEID,Lon,Lat
212,-74.24274849,40.52280008
213,-74.24003142,40.52031312
214,-74.24360794,40.52484484
215,-74.24199938,40.49752766
216,-74.24120474,40.49790097
217,-74.24110541,40.49761806
218,-74.24019729,40.49785962
219,-74.2395622,40.49878794
220,-74.23809649,40.49912578
221,-74.24172674,40.4994777
222,-74.24082131,40.49965907
223,-74.23991611,40.49984296
224,-74.23901236,40.50002465
225,-74.2387505,40.499263
226,-74.24168151,40.50215939
227,-74.24077757,40.50234117
228,-74.23987314,40.50252201
229,-74.23934479,40.50380648
230,-74.23896749,40.50270298
231,-74.23921061,40.50341581
233,-74.23826192,40.50402403
234,-74.23842982,40.50268163
235,-74.23833301,40.50233617
236,-74.24163828,40.50483163
237,-74.2409844,40.50645947
238,-74.24073319,40.50501272
239,-74.24049843,40.50506086
240,-74.23981009,40.50519385
241,-74.23949799,40.5042771
243,-74.23980791,40.50667215
245,-74.23906045,40.50513208
246,-74.23931692,40.50529457
247,-74.2388254,40.50412378
248,-74.23881194,40.5044075
249,-74.2389645,40.50481439
250,-74.24152752,40.50803679
251,-74.24109487,40.50923062
252,-74.24052876,40.50819304
253,-74.23862565,40.50688845
254,-74.23878324,40.50733961
255,-74.24153096,40.51178527
256,-74.24093236,40.50993444
257,-74.24113053,40.51201815
258,-74.24070553,40.5093477
259,-74.24058531,40.51149279
260,-74.24025138,40.51165993
261,-74.23966395,40.50977118
262,-74.23987571,40.51035096
263,-74.23970169,40.51194589
264,-74.23963119,40.50968151
265,-74.23890805,40.51054366
266,-74.23836112,40.50990379
267,-74.24177255,40.51405552
268,-74.24148982,40.51513953
269,-74.2410386,40.51465779
270,-74.23965321,40.51452099
271,-74.23891814,40.51244824
272,-74.23879898,40.5125236
273,-74.24065894,40.515582
274,-74.2408088,40.51690789
275,-74.2406895,40.51721678
276,-74.2402478,40.5151202
277,-74.23994756,40.51725324
278,-74.23923277,40.51652688
279,-74.23904059,40.51750835
280,-74.238867,40.51496795
281,-74.23870393,40.51599191
282,-74.23847654,40.51691284
283,-74.23848368,40.51762301
284,-74.24103123,40.51954251
285,-74.24054297,40.51770108
286,-74.24023846,40.51872918
287,-74.23960466,40.51831653
288,-74.23903708,40.51795832
289,-74.238703,40.51775366
290,-74.24085653,40.5213125
291,-74.23945949,40.52127942
292,-74.2381019,40.50020812
293,-74.23806951,40.50153426
294,-74.23793056,40.50126826
295,-74.23790755,40.49967202
296,-74.23775205,40.50057915
297,-74.23752144,40.50133359
298,-74.23725904,40.50070219
299,-74.23635131,40.50012558
300,-74.23648683,40.50041665
301,-74.2366248,40.50082548
303,-74.23789035,40.50239517
304,-74.23813939,40.50404888
306,-74.23757986,40.50151855
307,-74.2375738,40.50369233
308,-74.23772674,40.50412908
309,-74.23726642,40.50276748
310,-74.23728787,40.50283591
311,-74.23688044,40.50157935
312,-74.23613186,40.50320706
314,-74.23537166,40.50162926
315,-74.23802012,40.50501557
316,-74.23817667,40.50552693
317,-74.23786491,40.50454514
318,-74.23726939,40.50629094
319,-74.23670737,40.50664168
320,-74.23642517,40.50637354
321,-74.23528931,40.50664977
322,-74.23506001,40.50668508
323,-74.23489564,40.50618808
324,-74.23760681,40.50716241
325,-74.23764208,40.50764606
326,-74.23729562,40.50920741
327,-74.23693017,40.50728926
328,-74.23711561,40.50863707
329,-74.23588073,40.50678885
330,-74.23586247,40.50912418
331,-74.2359573,40.50940911
332,-74.23564719,40.50845635
334,-74.23512107,40.5068729
335,-74.235348,40.50754827
336,-74.23510734,40.5092574
337,-74.2347812,40.5089662
338,-74.23793676,40.50993411
339,-74.2380799,40.5103809
341,-74.23741401,40.50969088
342,-74.23711359,40.51206836
343,-74.23686452,40.51212183
344,-74.23683332,40.51203661
345,-74.23612651,40.50991639
346,-74.23635262,40.51061597
347,-74.23627185,40.51036034
348,-74.23611576,40.51217741
349,-74.23574768,40.51164156
350,-74.23589425,40.51206412
351,-74.2349104,40.51223919
352,-74.23817177,40.51298187
353,-74.23736019,40.51351411
354,-74.23666764,40.51387468
355,-74.2359958,40.51274422
356,-74.23600989,40.51420293
357,-74.23563744,40.51438786
358,-74.23514323,40.51291414
359,-74.23813883,40.51539895
360,-74.23788515,40.51726528
361,-74.23746432,40.51573639
362,-74.23719079,40.51684785
363,-74.23639397,40.5156535
364,-74.23610268,40.5153516
365,-74.23637081,40.51634581
366,-74.23581803,40.51505137
367,-74.23543824,40.5157843
372,-74.23511311,40.52091718
373,-74.23314425,40.50107932
374,-74.23319574,40.50121618
375,-74.23343987,40.50191973
376,-74.23344991,40.50198716
378,-74.23262145,40.50347343
379,-74.2323158,40.50215431
381,-74.23236523,40.5026793
382,-74.23210083,40.50185904
384,-74.23150791,40.50234189
385,-74.23171233,40.50281843
386,-74.23306198,40.50675612
387,-74.23448655,40.50824879
388,-74.23463525,40.50866157
389,-74.23387032,40.50916411
390,-74.23322806,40.50723621
391,-74.23370881,40.50867727
392,-74.23292283,40.50911631
393,-74.23271825,40.50849288
394,-74.23282029,40.50880708
395,-74.23439798,40.51071254
396,-74.23407908,40.50976657
397,-74.23296843,40.50992696
398,-74.2328836,40.51156444
399,-74.23307132,40.51212162
400,-74.23270384,40.51102918
401,-74.2325698,40.51055519
402,-74.23216129,40.51229906
404,-74.23118911,40.5109251
405,-74.23146795,40.51182133
406,-74.23139406,40.51160073
407,-74.23221849,40.51436741
408,-74.2316092,40.51239479
409,-74.2312655,40.5146049
410,-74.23457059,40.51505233
412,-74.23427388,40.51746702
413,-74.23416322,40.51731782
414,-74.23303664,40.51530136
415,-74.23252797,40.51554088
416,-74.2326017,40.51583918
417,-74.23282215,40.51633656
418,-74.23230463,40.51685108
419,-74.2315933,40.51753328
420,-74.23462356,40.51856326
421,-74.23413471,40.51864061
422,-74.23354249,40.51807949
423,-74.23392087,40.52070288
424,-74.23248475,40.52079338
425,-74.25020554,40.53962964
426,-74.250609,40.54185089
427,-74.24646663,40.52481333
428,-74.24872958,40.53275348
429,-74.24493693,40.53666388
430,-74.24535957,40.53701335
431,-74.24664837,40.54229751
432,-74.24616947,40.54228068
433,-74.24803464,40.54309324
434,-74.24613744,40.54569645
435,-74.24741487,40.54920069
436,-74.24396762,40.52495095
437,-74.242282,40.5333875
438,-74.24410657,40.53618281
439,-74.24167533,40.53556432
440,-74.24211323,40.53441672
441,-74.24479005,40.53858562
442,-74.24328932,40.53932931
443,-74.24358448,40.54762399
444,-74.24231727,40.54696401
445,-74.2392679,40.52502818
446,-74.23926673,40.52521075
447,-74.23926563,40.52538633
448,-74.24226237,40.52839006
449,-74.23937177,40.52822361
450,-74.23837969,40.52816553
451,-74.24150791,40.53127325
452,-74.23832089,40.52954628
453,-74.23896885,40.53275096
454,-74.24152622,40.53698215
455,-74.23945747,40.53524622
457,-74.23929899,40.53671706
458,-74.23532697,40.52512147
459,-74.23606752,40.52538968
461,-74.23748357,40.52811238
463,-74.23484001,40.52717913
464,-74.2348099,40.52756166
465,-74.2347802,40.52794776
466,-74.23747937,40.52940837
468,-74.23778624,40.53309788
469,-74.23666487,40.53393307
470,-74.23622404,40.53317863
471,-74.2361946,40.53386397
472,-74.2358066,40.53267558
473,-74.23570905,40.53380202
474,-74.23732562,40.53497175
475,-74.23743148,40.53652437
476,-74.23715388,40.5361777
477,-74.23590229,40.53480017
478,-74.23612478,40.53536235
479,-74.23802998,40.53734218
480,-74.23729593,40.53720978
481,-74.23739454,40.53835217
482,-74.23741163,40.53842168
483,-74.23748032,40.5392201
484,-74.23582147,40.53738244
485,-74.23563149,40.53874234
487,-74.23753373,40.54115054
488,-74.23666736,40.54243875
489,-74.23781195,40.54989605
490,-74.23660316,40.55040096
491,-74.2347915,40.52418333
492,-74.23446572,40.52459966
493,-74.23441411,40.52567668
494,-74.23343551,40.52473879
495,-74.23189055,40.52562687
496,-74.23245303,40.52474296
497,-74.23246149,40.52470154
498,-74.23229244,40.52469595
499,-74.23171773,40.5254671
500,-74.23072719,40.52570187
501,-74.23443872,40.52755029
502,-74.23442115,40.52792521
503,-74.23400179,40.52624949
504,-74.23383371,40.52686094
505,-74.23280385,40.52679211
506,-74.23215666,40.52630146
507,-74.23159899,40.53102165
509,-74.23464499,40.53719725
510,-74.23449266,40.53790135
511,-74.2336893,40.53775786
512,-74.23274734,40.53760671
513,-74.23255148,40.53826668
514,-74.23245049,40.53862586
515,-74.23230124,40.53927359
517,-74.23292129,40.54113165
519,-74.23180318,40.54050029
520,-74.23274507,40.55085552
521,-74.23921088,40.55376386
522,-74.23635396,40.55236751
523,-74.23489866,40.55300522
524,-74.23166871,40.55136321
525,-74.23169305,40.55845726
526,-74.219186,40.48813437
527,-74.20135903,40.48740027
528,-74.23109788,40.5036775
529,-74.23093031,40.5031851
